S No., Constraints, Programs, Extracted Programs, Exec. Time
1672,( or ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( <= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1263190
1673,( and ( <= ( + ( f x y ) x ) ( f x y ) ) ( = x ( f x y ) ) ),unknown,unknown,1383684
1674,( and ( >= ( f x y ) ( f x y ) ) ( < ( f x y ) ( - ( f x y ) y ) ) ),unknown,unknown,1526463
1675,( or ( >= x ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1358500
1676,( and ( > ( f x y ) x ) ( = ( f x y ) ( f x y ) ) ),Timeout,Timeout,1567387
1677,( or ( = ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1359089
1678,( and ( >= ( f x y ) x ) ( > ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1182682
1679,( or ( < ( f x y ) x ) ( > ( f x y ) ( + y ( f x y ) ) ) ),Timeout,Timeout,1253859
1680,( and ( <= ( f x y ) ( f x y ) ) ( > ( + ( f x y ) ( + ( + ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ( f x y ) ) ),Timeout,Timeout,1218188
1681,( and ( >= y ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1134358
1682,( and ( >= ( f x y ) x ) ( <= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1199688
1683,( and ( > ( f x y ) y ) ( <= ( f x y ) ( - ( - ( - x ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,1267710
1684,( and ( < y ( f x y ) ) ( = y ( f x y ) ) ),unknown,unknown,1221674
1685,( and ( > ( f x y ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1215548
1686,( and ( = ( f x y ) y ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1172476
1687,( and ( > ( f x y ) ( - ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ( < ( - x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1162918
1688,( or ( < ( f x y ) ( + ( f x y ) ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ) ) ( < ( f x y ) y ) ),Timeout,Timeout,1335611
1689,( or ( <= x ( f x y ) ) ( < ( - ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1195102
1690,( or ( <= x ( f x y ) ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1148709
1691,( and ( = ( f x y ) ( f x y ) ) ( < ( f x y ) ( - ( f x y ) ( - ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ) ) ( f x y ) ) ) ) ),Timeout,Timeout,1203017
1692,( and ( <= ( + ( f x y ) y ) ( f x y ) ) ( <= ( f x y ) ( - y ( f x y ) ) ) ),unknown,unknown,1141121
1693,( and ( > x ( f x y ) ) ( <= ( f x y ) y ) ),Timeout,Timeout,1344389
1694,( and ( = ( - ( f x y ) ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ( f x y ) ) ( < y ( f x y ) ) ),unknown,unknown,1434095
1695,( or ( < ( f x y ) y ) ( >= ( + y ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* y 5)),((* y 5)),1171459
1696,( and ( = ( f x y ) y ) ( > y ( f x y ) ) ),unknown,unknown,1202163
1697,( or ( = x ( f x y ) ) ( > ( f x y ) ( + ( f x y ) x ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1180688
1698,( or ( < y ( f x y ) ) ( < ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1251453
1699,( and ( <= y ( f x y ) ) ( < ( f x y ) y ) ),unknown,unknown,1193079
1700,( and ( >= ( + x ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1177968
1701,( and ( < x ( f x y ) ) ( = ( f x y ) ( f x y ) ) ),Timeout,Timeout,1257112
1702,( and ( <= ( f x y ) ( f x y ) ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1220747
1703,( and ( > y ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1253616
1704,( or ( <= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1270475
1705,( and ( < ( f x y ) ( - ( f x y ) y ) ) ( = ( f x y ) ( f x y ) ) ),unknown,unknown,1250667
1706,( or ( >= ( f x y ) ( - x ( f x y ) ) ) ( = y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1269196
1707,( and ( >= ( f x y ) ( - ( f x y ) ( + ( + ( f x y ) ( - ( + ( f x y ) x ) ( f x y ) ) ) ( f x y ) ) ) ) ( <= ( f x y ) ( - ( f x y ) x ) ) ),unknown,unknown,1237917
1708,( and ( > ( f x y ) y ) ( = ( f x y ) y ) ),unknown,unknown,1245069
1709,( or ( <= ( f x y ) ( f x y ) ) ( < ( - x ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1336074
1710,( or ( > ( f x y ) x ) ( < ( f x y ) ( + ( f x y ) x ) ) ),Timeout,Timeout,1351658
1711,( or ( < ( + x ( f x y ) ) ( f x y ) ) ( < ( + ( + ( - ( + ( f x y ) ( + ( f x y ) y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1402229
1712,( and ( <= ( - ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1252445
1713,( and ( >= ( f x y ) x ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1280381
1714,( or ( > ( f x y ) ( + ( f x y ) ( + ( f x y ) ( - y ( f x y ) ) ) ) ) ( = ( - ( f x y ) ( + ( f x y ) ( + ( - ( f x y ) y ) ( f x y ) ) ) ) ( f x y ) ) ),unknown,unknown,1311319
1715,( or ( < ( f x y ) ( f x y ) ) ( < y ( f x y ) ) ),Timeout,Timeout,1284900
1716,( or ( = ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( > ( - ( - y ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1491762
1717,( and ( <= ( f x y ) x ) ( > y ( f x y ) ) ),Timeout,Timeout,1654152
1718,( and ( > x ( f x y ) ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1378442
1719,( or ( < ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( < ( f x y ) ( f x y ) ) ),Timeout,Timeout,1370711
1720,( or ( > ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( > x ( f x y ) ) ),Timeout,Timeout,1436521
1721,( and ( <= ( f x y ) y ) ( >= x ( f x y ) ) ),Timeout,Timeout,1418655
1722,( and ( <= y ( f x y ) ) ( > ( - x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1271680
1723,( and ( = ( f x y ) ( f x y ) ) ( < ( f x y ) x ) ),Timeout,Timeout,1354305
1724,( or ( > ( f x y ) x ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1387762
1725,( and ( > ( f x y ) y ) ( < ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ),Timeout,Timeout,1538225
1726,( or ( >= x ( f x y ) ) ( >= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1295935
1727,( or ( < ( - y ( f x y ) ) ( f x y ) ) ( < ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1300224
1728,( and ( = ( f x y ) ( + ( f x y ) y ) ) ( < ( + x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1193572
1729,( or ( <= ( f x y ) ( - y ( f x y ) ) ) ( >= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1215911
1730,( and ( >= x ( f x y ) ) ( > x ( f x y ) ) ),Timeout,Timeout,1308067
1731,( or ( >= x ( f x y ) ) ( >= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1252391
1732,( and ( >= ( f x y ) ( f x y ) ) ( = ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- x x)),((- x x)),1330704
1733,( and ( = ( f x y ) y ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1221271
1734,( and ( = ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( + ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ),unknown,unknown,1203393
1735,( and ( > x ( f x y ) ) ( >= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1210570
1736,( and ( <= ( f x y ) y ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1436273
1737,( and ( <= x ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1253301
1738,( and ( < ( f x y ) ( f x y ) ) ( <= x ( f x y ) ) ),unknown,unknown,1201828
1739,( and ( = ( f x y ) ( - ( f x y ) ( + ( f x y ) y ) ) ) ( <= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1325023
1740,( and ( = y ( f x y ) ) ( < ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1203448
1741,( or ( = ( f x y ) ( f x y ) ) ( <= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1259004
1742,( or ( < x ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) y ) ) ),Timeout,Timeout,1325662
1743,( and ( < ( f x y ) ( - ( f x y ) x ) ) ( = ( f x y ) y ) ),unknown,unknown,1257474
1744,( and ( < ( f x y ) x ) ( <= x ( f x y ) ) ),unknown,unknown,1162114
1745,( and ( = ( f x y ) ( + ( f x y ) ( - ( + ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ) ) ( = ( f x y ) ( + ( f x y ) ( - ( f x y ) x ) ) ) ),unknown,unknown,1220044
1746,( or ( <= ( f x y ) y ) ( <= ( f x y ) ( - ( f x y ) ( - x ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1225974
1747,( or ( = ( + ( f x y ) x ) ( f x y ) ) ( >= ( - ( f x y ) ( + x ( f x y ) ) ) ( f x y ) ) ),Timeout,Timeout,1383492
1748,( and ( < ( f x y ) ( f x y ) ) ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),unknown,unknown,1176014
1749,( or ( = ( f x y ) ( f x y ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1625449
1750,( and ( = ( f x y ) ( + ( + ( + ( f x y ) x ) ( f x y ) ) ( f x y ) ) ) ( >= y ( f x y ) ) ),unknown,unknown,1305543
1751,( and ( >= ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1423268
1752,( and ( > ( f x y ) ( - y ( f x y ) ) ) ( >= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1472695
1753,( or ( >= ( f x y ) ( - x ( f x y ) ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1197931
1754,( and ( >= ( f x y ) ( f x y ) ) ( < ( f x y ) ( + ( f x y ) y ) ) ),unknown,unknown,1175756
1755,( and ( = ( f x y ) ( f x y ) ) ( > ( - ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1293089
1756,( or ( = ( f x y ) ( + ( f x y ) x ) ) ( < ( f x y ) y ) ),Timeout,Timeout,1353297
1757,( and ( < ( f x y ) ( f x y ) ) ( <= ( f x y ) y ) ),unknown,unknown,1166765
1758,( and ( = ( f x y ) ( + x ( f x y ) ) ) ( = ( f x y ) ( + x ( f x y ) ) ) ),unknown,unknown,1166157
1759,( and ( < ( + x ( f x y ) ) ( f x y ) ) ( > ( f x y ) y ) ),unknown,unknown,1223286
1760,( and ( > ( f x y ) ( f x y ) ) ( > ( f x y ) ( - ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ),unknown,unknown,1176193
1761,( or ( = ( f x y ) x ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1251187
1762,( or ( <= ( f x y ) y ) ( >= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1165403
1763,( and ( > ( f x y ) y ) ( >= ( - x ( f x y ) ) ( f x y ) ) ),unknown,unknown,1161594
1764,( or ( < ( + ( + ( f x y ) ( + ( f x y ) x ) ) ( f x y ) ) ( f x y ) ) ( = ( - ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (* x 0)),((* x 0)),1224827
1765,( and ( < ( f x y ) ( - ( f x y ) y ) ) ( >= ( f x y ) ( - ( f x y ) ( - ( f x y ) ( - x ( f x y ) ) ) ) ) ),Timeout,Timeout,1199483
1766,( and ( <= ( f x y ) x ) ( < x ( f x y ) ) ),unknown,unknown,1139115
1767,( or ( < ( + ( f x y ) ( + ( f x y ) x ) ) ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1138309
1768,( and ( < x ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1164522
1769,( and ( > ( f x y ) ( f x y ) ) ( > ( f x y ) y ) ),unknown,unknown,1229414
1770,( or ( > x ( f x y ) ) ( > ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1326232
1771,( and ( >= ( - ( f x y ) ( - ( f x y ) ( + ( f x y ) ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ) ) ( f x y ) ) ( < ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1246340
1772,( and ( >= ( f x y ) ( f x y ) ) ( > x ( f x y ) ) ),Timeout,Timeout,1256091
1773,( and ( > y ( f x y ) ) ( = ( f x y ) ( + x ( f x y ) ) ) ),unknown,unknown,1144668
1774,( and ( < ( f x y ) y ) ( >= ( f x y ) y ) ),unknown,unknown,1170213
1775,( or ( < ( + ( f x y ) x ) ( f x y ) ) ( > ( + ( - y ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1257263
1776,( or ( <= ( f x y ) ( f x y ) ) ( >= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1200601
1777,( or ( > ( - y ( f x y ) ) ( f x y ) ) ( < y ( f x y ) ) ),Timeout,Timeout,1296273
1778,( and ( = y ( f x y ) ) ( >= ( f x y ) ( + x ( f x y ) ) ) ),unknown,unknown,1199409
1779,( and ( < ( f x y ) y ) ( = ( f x y ) ( + y ( f x y ) ) ) ),unknown,unknown,1283112
1780,( or ( < ( f x y ) ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ) ( = ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),2411869
1781,( or ( = ( + ( f x y ) ( - ( f x y ) y ) ) ( f x y ) ) ( = ( f x y ) ( + ( - ( f x y ) ( - ( f x y ) x ) ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),2911573
1782,( and ( < ( f x y ) ( + ( + y ( f x y ) ) ( f x y ) ) ) ( < ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ),unknown,unknown,2204774
1783,( and ( > ( f x y ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1744816
1784,( or ( > y ( f x y ) ) ( > ( f x y ) ( + ( f x y ) x ) ) ),Timeout,Timeout,1288362
1785,( and ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( <= ( f x y ) ( + ( + ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ) ),unknown,unknown,1198965
1786,( and ( < ( f x y ) ( f x y ) ) ( < ( - ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1192287
1787,( or ( >= ( - ( f x y ) y ) ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1922296
1788,( or ( < ( f x y ) y ) ( = ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- x x)),((- x x)),1798001
1789,( or ( >= ( + y ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( - ( f x y ) ( + ( f x y ) ( + y ( f x y ) ) ) ) ) ),unknown,unknown,1173560
1790,( or ( > ( f x y ) ( + ( + ( f x y ) ( + ( f x y ) ( - ( f x y ) ( - ( f x y ) ( - ( f x y ) ( - x ( f x y ) ) ) ) ) ) ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1219775
1791,( or ( = ( f x y ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1256131
1792,( or ( < ( - ( - ( + ( f x y ) y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),2135349
1793,( and ( <= ( f x y ) ( f x y ) ) ( = ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- x x)),((- x x)),1472501
1794,( or ( >= ( f x y ) ( + ( f x y ) ( - y ( f x y ) ) ) ) ( <= x ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1281303
1795,( and ( >= ( f x y ) y ) ( < ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1275845
1796,( and ( >= ( + ( + ( + x ( f x y ) ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( <= ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),Timeout,Timeout,1603805
1797,( and ( >= ( f x y ) y ) ( < ( - ( f x y ) ( - ( + ( f x y ) x ) ( f x y ) ) ) ( f x y ) ) ),unknown,unknown,1751861
1798,( or ( < ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( >= ( - ( f x y ) ( - y ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1189584
1799,( and ( >= ( f x y ) ( f x y ) ) ( >= ( f x y ) y ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1161841
1800,( or ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1134055
1801,( or ( > ( f x y ) y ) ( > ( + ( f x y ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1521328
1802,( or ( <= ( f x y ) ( + x ( f x y ) ) ) ( <= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1843469
1803,( or ( > ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( >= ( f x y ) ( - ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int 1),(1),1306437
1804,( and ( >= ( f x y ) y ) ( >= ( f x y ) x ) ),Timeout,Timeout,1231842
1805,( and ( > ( f x y ) y ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1174474
1806,( and ( >= ( f x y ) ( f x y ) ) ( > ( f x y ) ( - ( - ( f x y ) y ) ( f x y ) ) ) ),Timeout,Timeout,2028594
1807,( and ( >= ( + ( f x y ) y ) ( f x y ) ) ( >= ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),unknown,unknown,1589055
1808,( or ( > ( + ( f x y ) x ) ( f x y ) ) ( <= ( - ( f x y ) x ) ( f x y ) ) ),unknown,unknown,1132068
1809,( and ( > ( f x y ) x ) ( <= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1243712
1810,( or ( = ( - ( f x y ) ( + x ( f x y ) ) ) ( f x y ) ) ( <= ( f x y ) ( - ( f x y ) ( + ( + ( f x y ) y ) ( f x y ) ) ) ) ),Timeout,Timeout,1187109
1811,( or ( < ( f x y ) x ) ( < y ( f x y ) ) ),Timeout,Timeout,1980258
1812,( and ( = ( f x y ) ( f x y ) ) ( > ( f x y ) x ) ),Timeout,Timeout,1474611
1813,( and ( > ( - y ( f x y ) ) ( f x y ) ) ( <= y ( f x y ) ) ),unknown,unknown,1119759
1814,( and ( = y ( f x y ) ) ( >= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1135308
1815,( or ( <= ( + ( f x y ) ( f x y ) ) ( f x y ) ) ( >= ( + x ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1129008
1816,( or ( >= x ( f x y ) ) ( <= ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1956676
1817,( or ( = x ( f x y ) ) ( < ( f x y ) ( + ( - ( f x y ) y ) ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1314380
1818,( and ( < ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( = x ( f x y ) ) ),unknown,unknown,1142152
1819,( or ( > ( + y ( f x y ) ) ( f x y ) ) ( < ( f x y ) ( f x y ) ) ),unknown,unknown,1150675
1820,( or ( >= ( f x y ) ( f x y ) ) ( >= ( f x y ) ( + ( f x y ) ( - ( - ( f x y ) x ) ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1143576
1821,( and ( > x ( f x y ) ) ( >= y ( f x y ) ) ),Timeout,Timeout,1991226
1822,( and ( >= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( > x ( f x y ) ) ),unknown,unknown,1323762
1823,( and ( >= ( f x y ) ( f x y ) ) ( < x ( f x y ) ) ),Timeout,Timeout,1202183
1824,( and ( < ( + ( - ( f x y ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ( = ( f x y ) x ) ),unknown,unknown,1131656
1825,( or ( = ( f x y ) ( + x ( f x y ) ) ) ( < ( f x y ) ( - ( f x y ) ( - ( f x y ) y ) ) ) ),Timeout,Timeout,1197978
1826,( and ( > ( f x y ) y ) ( <= ( + ( f x y ) y ) ( f x y ) ) ),Timeout,Timeout,2055002
1827,( and ( <= ( f x y ) ( - ( f x y ) y ) ) ( = y ( f x y ) ) ),unknown,unknown,1301174
1828,( and ( = ( f x y ) ( f x y ) ) ( > y ( f x y ) ) ),Timeout,Timeout,1229578
1829,( and ( > x ( f x y ) ) ( >= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1210151
1830,( or ( > ( f x y ) y ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1264266
1831,( and ( < ( f x y ) ( f x y ) ) ( <= y ( f x y ) ) ),unknown,unknown,1817162
1832,( and ( = ( + x ( f x y ) ) ( f x y ) ) ( = ( f x y ) ( + ( f x y ) y ) ) ),unknown,unknown,1243979
1833,( or ( >= ( - ( f x y ) ( + ( f x y ) y ) ) ( f x y ) ) ( <= ( f x y ) ( - x ( f x y ) ) ) ),Timeout,Timeout,1193443
1834,( or ( >= ( f x y ) x ) ( <= ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1137846
1835,( and ( > ( f x y ) ( - ( + x ( f x y ) ) ( f x y ) ) ) ( >= ( + ( + ( - ( f x y ) x ) ( f x y ) ) ( f x y ) ) ( f x y ) ) ),Timeout,Timeout,1281316
1836,( or ( >= ( f x y ) y ) ( = ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1856740
1837,( or ( = ( + ( f x y ) x ) ( f x y ) ) ( >= y ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1306374
1838,( or ( >= ( f x y ) ( + y ( f x y ) ) ) ( <= ( f x y ) ( - y ( f x y ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1215550
1839,( and ( > ( f x y ) x ) ( <= x ( f x y ) ) ),Timeout,Timeout,1238111
1840,( and ( >= y ( f x y ) ) ( = ( f x y ) x ) ),unknown,unknown,1603518
1841,( and ( >= ( - y ( f x y ) ) ( f x y ) ) ( = ( f x y ) x ) ),unknown,unknown,1886507
1842,( or ( <= ( f x y ) ( - ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1219215
1843,( and ( > ( f x y ) ( f x y ) ) ( > ( f x y ) ( + ( f x y ) ( f x y ) ) ) ),unknown,unknown,1174039
1844,( and ( < ( f x y ) ( - ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ) ( >= ( f x y ) y ) ),unknown,unknown,1232715
1845,( or ( = ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( = ( f x y ) x ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1628568
1846,( or ( < ( f x y ) ( + ( f x y ) x ) ) ( >= ( f x y ) ( - ( f x y ) x ) ) ),unknown,unknown,1651599
1847,( or ( < ( f x y ) y ) ( > ( f x y ) x ) ),Timeout,Timeout,1198673
1848,( and ( < ( f x y ) ( + y ( f x y ) ) ) ( <= ( + ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( f x y ) ) ),unknown,unknown,1121490
1849,( or ( < ( f x y ) ( f x y ) ) ( = ( f x y ) ( + ( f x y ) ( + ( f x y ) ( f x y ) ) ) ) ),(define-fun f ((x Int) (y Int)) Int (- x x)),((- x x)),1200200
1850,( or ( <= y ( f x y ) ) ( = ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int y),(y),1906594
1851,( or ( >= x ( f x y ) ) ( < ( f x y ) ( + ( f x y ) y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1636792
1852,( and ( < ( f x y ) ( f x y ) ) ( <= ( f x y ) ( f x y ) ) ),unknown,unknown,1253394
1853,( and ( >= ( f x y ) y ) ( > ( f x y ) ( f x y ) ) ),unknown,unknown,1187780
1854,( or ( <= ( f x y ) ( - ( f x y ) ( f x y ) ) ) ( >= ( - ( f x y ) ( f x y ) ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int (- y y)),((- y y)),1161528
1855,( and ( <= ( f x y ) y ) ( < y ( f x y ) ) ),unknown,unknown,1921959
1856,( and ( = ( f x y ) x ) ( < x ( f x y ) ) ),unknown,unknown,1458588
1857,( or ( > ( f x y ) ( + ( + ( f x y ) ( f x y ) ) ( f x y ) ) ) ( <= ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1231300
1858,( or ( >= ( f x y ) x ) ( > ( f x y ) ( f x y ) ) ),(define-fun f ((x Int) (y Int)) Int x),(x),1166328
1859,( and ( > ( f x y ) ( - x ( f x y ) ) ) ( >= ( f x y ) ( f x y ) ) ),Timeout,Timeout,1239468
